profile_name,user_reviews,rating_date,visit_date,summary,text,stars
lmarch,76 reviews,"Reviewed July 13, 2018",Date of visit: June 2018,Big portions,"Visited in June. Lively place, ongoing entertainment as you dine. It was busy and had to wait for a table. The food was ok, we had homemade burgers, fajitas and pizzas, portions are big and prices reasonable. Staff are very good and quick.",3
Darren W,28 reviews,"Reviewed July 13, 2018",Date of visit: July 2018,Lovely food,We stopped for a meal during our stay in Paphos at the start of July. The restaurant was very busy and seems to be connected to the restaurant next door (Willy's). There was music playing in the background and at random times a dance troupe...More,5
maureenm969,126 reviews,"Reviewed July 13, 2018",Date of visit: July 2018,Delicious,"Fat mamas is Italian food and Willy’s is tex mex and they give you both menus so u can mix n match if you wish . Walking along it looks like 2 seperate restUrants but it’s the same place 
We chose a nachos starter to...More",5
J122222,68 reviews,"Reviewed July 13, 2018",Date of visit: July 2018,Nice food but weird place,"We came here because it’s always busy but it was a strange experience. The food was really tasty and and the waiters seemed helpful. What we weren’t sure about was the dancing, singing and singing to people every 15 minutes. It just seemed unnecessary.",3
Tibi_Trif,25 reviews,"Reviewed July 13, 2018",Date of visit: July 2018,Great atmosphere and food,I went with 4 friends and had some food from the italian menu as well as some food from the american menu. yes! they have 2 type of menu with a lot of food. The food was delicious !!! the service was impeccable and the...More,5
NFL16,31 reviews,"Reviewed July 12, 2018",Date of visit: July 2018,At long last,"Despite going to Pathos for the last 4 years, we had never visited Fat Mamma's. We finally did this time. We were a family of 6 and managed to get a table straight away, despite being busy. What can say? 
Straight away we were made...More",5
Barry V,220 reviews,"Reviewed July 11, 2018",Date of visit: July 2018,Fast food,"It was ok if you like American fast food portions size good 
Spare ribs good and lots very busy
Be prepared to wait",4
evacarry3,8 reviews,"Reviewed July 11, 2018",Date of visit: July 2018,HATERS GONNA HATEEEE,The place is very warm and friendly. The staff is amazing.. I read some awful comments down bellow from people that probably never ate microwaved food or ribs in their life.. or they just had a bad day. The best ribs I ever tried!! The...More,5
JackandJill1988,165 reviews,"Reviewed July 10, 2018",Date of visit: June 2018,Dinner and drinks,"Had dinner here with a few girls.

Cocktails buy one get one free before 7 was good to get the evening started.

Varied menu, plenty of staff and entertainment 

Food was okay probably a bit overpriced for what it really was. 

The girls dance and...More",4
pennypap2018,9 reviews,"Reviewed July 10, 2018",Date of visit: July 2018,Great food and big portions.,"If your looking for a 3 course meal, you’ll have to pace yourself at fat mammas. There is plenty to choose from and it all sounds delicious, but don’t let your eyes be bigger than your belly, because the portions are on the larger side....More",3
Gillypops474,102 reviews,"Reviewed July 10, 2018",Date of visit: June 2018,Average Food - Entertainment Good,"There is a lot of hype over this restaurant, we decided to see what it was all about. We did not have to wait for a table although it was rather busy. It reminds me of an American Diner. I had a chicken pasta dish,...More",3
Shadoskey,3 reviews,"Reviewed July 9, 2018",Date of visit: July 2018,Great food and excellent service,"I went with my wife. We had shrimps and lamp chops. We simply loved it! 
I don’t know what else to add so I will just punch some letters... ABCDEFGHJKLMNOPQRSTUVWXYZ 
There ... are you satisfied trip advisor?",5
money007penny,29 reviews,"Reviewed July 9, 2018",Date of visit: June 2018,Dinner date night,This is one brillant restaurant the staff are so nice and the food is brillant quantity of food is amazing if you like a good feed.  The entertainment during your meal is brillant too,5
BCW62,43 reviews,"Reviewed July 9, 2018",Date of visit: July 2018,Never Fails,I have been visiting this restaurant whilst on holiday for about 15 years and I have never been disappointed.  It’s good food at a good price and huge portions.  My kids have grown up enjoying their visits and now my family’s very young children are...More,5
dawnsdogs4,19 reviews,"Reviewed July 9, 2018",Date of visit: June 2018,Night out,Fantastic food lovely place  really clean staff lovely highly recommend it 😁 would definitely go back there for a meal 😁,5
378sandiem,11 reviews,"Reviewed July 9, 2018",Date of visit: July 2018,"Rude staff, substandard food.",Our party of 7 ordered a variety of dishes & as we waited our drinks arrived. There was an offer to buy a beer & get one free as with soft drinks. 2 drinks were placed in front of each of us. It was 32...More,1
Focusonfour,14 reviews,"Reviewed July 9, 2018",Date of visit: June 2018,So so good!,Visited here after first visiting 8 years ago. The food was amazing and the portion sizes were crazy! Definitely worth your money. Its a busy restaurant so pre book if you have a large group. There was 2 of us and we were seated within...More,5
David P,11 reviews,"Reviewed July 8, 2018",Date of visit: June 2018,"The Cowboy Ribs ,",We ate here and I had the Cowboy ribs only have these if you have a huge appetite they are delishous but there is a lot of them. The entertainment is brilliant.,5
LisGre,13 reviews,"Reviewed July 8, 2018",Date of visit: July 2018,Doesn't live up to the hype,"Food was average - doughy undercooked garlic bread with too much unmelted cheese, overcooked burger, overcooked steak in the fajitas.  To top it all, the service was dreadful. Left us sitting for about 25 minutes with the dessert menu - in the end we decided...More",3
Go593732,32 reviews,"Reviewed July 8, 2018",Date of visit: July 2018,Ok food.,"As the title of the review says, the food was ok. Large portions but lacking in flavour. The service is excellent and I would recommend here for families as they provide entertainment for children. It is not suited for couples, such as our visit.",3
Danielle L,1 review,"Reviewed July 6, 2018",Date of visit: July 2018,Lovely!,"Family visit lovely food really enjoyed, big portions only ate half!
Would definitely return and recommend",5
honesty1st2016,15 reviews,"Reviewed July 5, 2018",Date of visit: June 2018,Best in Paphos!!!!!,Me and my step-daughter visited here in June. If you eat between 1800-1900 cocktails are 2-4-1 and you get 10% off bill. I had fillet steak cooked in coca-cola wow it was amazing everything was cooked to perfection and tasted great. The staff were very...More,5
Stephen C,7 reviews,"Reviewed July 4, 2018",Date of visit: July 2018,"Excellent food, excellent value","Having had the worst meal ever down the road just last night, it was great to end up walking in here tonight. The steak was amazing and very well priced (€26 for approx 12oz fillet). The jacket potato was very fresh too. My girlfriend had...More",5
499jamiet,4 reviews,"Reviewed July 4, 2018",Date of visit: July 2018,Big Burgers,"Visited Fat Mama’s many times over the years, the food is just as tasty and plentiful every year.
With the added dance shows it makes for a great night of food and entertainment.",5
GeorgXoxo,31 reviews,"Reviewed July 3, 2018",Date of visit: June 2018,Best restaurant in Paphos,"Fat Mama's is definitely a restaurant that NEEDS to be visited in Paphos. Menu has plenty of choice, even has two menu's one for Italian and one for american. Me and my boyfriend were going to get two starters and two mains but the waitress...More",5
795lynnep,72 reviews,"Reviewed July 3, 2018",Date of visit: July 2018,Excellent!!,"Great food, portions are massive so make sure you go for the small portions! Entertainment for the kids, great choice of American and Italian food-something for everyone! Very fresh and waiting staff attentive. Highly recommended",5
chevyhart,3 reviews,"Reviewed July 1, 2018",Date of visit: July 2018,Great all round,Fat Mama’s was great one of the best meals and entertainment we had whilst on holiday. The service was good but the entertainment was in another ball park. 3 dancers to be honest I am not so sure what they called themselves but they would...More,5
458neilp,106 reviews,"Reviewed June 30, 2018",Date of visit: June 2018,Busy,Very busy place but food was great. Very large menu to choose from. Entertainment was fun. Recommended,4
mollien178,23 reviews,"Reviewed June 28, 2018",Date of visit: June 2018,"Great food, great entertainment",This is our 2nd visit to Fat Mamas after first trying it last year. There are a choice of 2 menus which you can mix and match. We ordered the nachos to share (one portion between two) and glad we did as the portion was...More,5
Bryan D,5 reviews,"Reviewed June 28, 2018",Date of visit: June 2018,"Great venue, food, service and entertainment","Imaginative choice of two menus with something for everyone. Staff attentive, frequently checking that all is well, top ups and if any problems. Dance show energetic and polished.",5
358alisonr,4 reviews,"Reviewed June 28, 2018",Date of visit: June 2018,Wonderful food and friendly staff.,We visited this restaurant during our visit to Paphos after it being recommended by a friend.  I have to say It far exceeded my expectations both in the quality of the food and the friendliness of the staff.  We ordered mussels for starters and they...More,5
sandrajones2002,19 reviews,"Reviewed June 27, 2018",Date of visit: June 2018,60th birthday meal,"didnt book but got a table immediately, staff very friendly and attentive. The food was excellent, we didnt have starters as we know from a past visit that its very hard to eat both, two of us had steak which melted in the mouth, husband...More",5
lucyjayneg,30 reviews,"Reviewed June 27, 2018",Date of visit: June 2018,"Average food, large portions","The food was fairly average in taste, not spectacular but not awful. The portions are large, which is reflected in the price",3
marriedcouple2000,80 reviews,"Reviewed June 27, 2018",Date of visit: June 2018,Fun night,"Went here a couple of nights but the entertainment was the same.
The place is a fun night out if you like traditional Greek dancing.
The drinks aren't watered down and well priced",4
Nikita F,23 reviews,"Reviewed June 27, 2018",Date of visit: June 2018,Absolutely Beautiful.,"Me and my partner have had a few meals at Fat Mamas and there is no error in the place at all. The staff are chatty and polite, even at busy periods which is almost all the time, there is never an empty seat in...More",5
nataliechambers,33 reviews,"Reviewed June 27, 2018",Date of visit: April 2018,Great Restuarant,"Really nice place to visit as a family entertainment great and gives the advantage over other places, food is really nice but I think I had maybe higher than average expectations.",4
Andrewn1971,22 reviews,"Reviewed June 26, 2018",Date of visit: June 2018,Brilliant,We decided our last night we would eat at bug mamas they have two menus we opted for the grill one of willys. The waitress came over and was lovely from the start and we ordered our drinks. When she came to see if we...More,5
A1879YAadamh,31 reviews,"Reviewed June 26, 2018",Date of visit: June 2018,Huge platter great food,"Had the starter sharing platters which was huge followed by one chilli con carne that we shared . To big for two people. However great flavour, staff and atmosphere. Good entertainment.",5
PChadders,50 reviews,"Reviewed June 26, 2018",Date of visit: June 2018,Could be better,We visited after reading reviews on TA. It was also recommended by a local. We were acknowledged on arrival and sat down straight away. The pina colada cocktails we ordered were just awful. The cream they used had curdled with the pineapple juice and there...More,3
Hannah G,23 reviews,"Reviewed June 26, 2018",Date of visit: June 2018,Fantastic restaurant!,I had the most amazing food tonight the cherry tomatoes chicken everything was perfect and considering I had a small portion it was quite a portion! Entertainment was refreshing was great to have something different. My partner had the ribs he did find the sauce...More,5
mjas99,6 reviews,"Reviewed June 26, 2018",Date of visit: June 2018,Good for kids.,I have eaten here a few times and always enjoyed the evening. The staff are very friendly and always polite. My toddler loves the dancers and meeting the characters in costumes. The food is nice but if you order the big portion it usually means...More,4
davidwW1299YY,11 reviews,"Reviewed June 26, 2018",Date of visit: June 2018,Brilliant,Been here twice now this week and on both occasions meals were excellent. You also get a show too. All staff warm and welcoming. Recommend the snakebite fillet steak,5
Naomi B,5 reviews,"Reviewed June 25, 2018",Date of visit: June 2018,Brilliant restaurant,"Visited this restaurant a couple of times on our holiday as it was just so good! All staff were amazing, very friendly and attentive. The food was brilliant, we tried the burgers on our first visit and the second time I had the halloumi fajitas...More",5
Lainy W,7 reviews,"Reviewed June 25, 2018",Date of visit: May 2018,Delicious Ribs,"OMG best ribs ever!
We ate here early evening, I had steak, Hubby had ribs, we were embarrassed at how quickly we ate our food it was soo good. 
Staff are really nice and friendly,  food is fabulous.",5
nigel r,34 reviews,"Reviewed June 24, 2018",Date of visit: July 2017,Queue for effect,Made to wait in a queue while a table was found for party of 6 adults and 3 kids even though we had booked. Waited ten minutes ... could see loads of empty tables and pointed this out to waiters but they seemed to not...More,2
Robert O,3 reviews,"Reviewed June 23, 2018",Date of visit: June 2018,First visit to restaurant,We have been visiting Paphos for the last 15 years and always driven past and said we must go one day we went with our friends last Wednesday and we where greeted by friendly and dancers the food didn't disappoint the steaks where fabulous,4
Andrea E,141 reviews,"Reviewed June 23, 2018",Date of visit: June 2018,Birthday meal,"Recommended 
Good service 
Plentiful portions 
Cocktails ok not the best I’ve tried 
Good entertainment 
Value for money.",5
gemacrompton,1 review,"Reviewed June 22, 2018",Date of visit: June 2018,June 2018,Well what can I say the best meal that me and my partner have had abroad in a long time. The staff were brilliant. The entertainment was great the food was out of this world. We went twice it was that fantastic and both times...More,5
bmack1873,4 reviews,"Reviewed June 22, 2018",Date of visit: June 2018,great food,"everytime i travell to Paphos I always head to Fat Mamastha the RIBS are amazing, although i was all inclusive still managed to find my way to Fat Mamas",5
Radiantpaper,31 reviews,"Reviewed June 22, 2018",Date of visit: June 2018,Quite good.,Cam for a meal 3 adults and 2 children looked at reviews on TA and the fact the portions were massive. Service was ok but not amazing and as for portion sizes would say they are no larger than any ware else I have eaten....More,4
Wendyb6969,6 reviews,"Reviewed June 21, 2018",Date of visit: June 2018,Superb food and service,"This place is amazing, food huge portions we went for half ribs small plate and couldn’t finish them. Had the sharing platter starter between four of us. Staff fantastic, xcellent value for money",5
675kareni,5 reviews,"Reviewed June 20, 2018",Date of visit: June 2018,FOOD,"We visit Fat Mamas each year we go to Paphos. The food is always good, massive portions so go for the small option if able too. 
There is always entertainment throughout your meal from some of the waiters which is enjoyable to watch.
Definitely worth...More",5
carol7381,5 reviews,"Reviewed June 19, 2018",Date of visit: June 2018,3 visits in 2 weeks,Had three great meals here came recommended and had seen on trip advisor very busy but once we were seated and ordered didn’t have long to wait on the food. Well worth the wait. Staff very friendly and dancing girls show excellent as well.,5
cazjohnston,47 reviews,"Reviewed June 19, 2018",Date of visit: May 2018,Brilliant!,"Went with another couple for a meal. Service was fantastic and food outstanding!! Then the staff all start singing and dancing! 
Great night. Will definitely be going back in July!!",5
LucyAler1,104 reviews,"Reviewed June 18, 2018",Date of visit: June 2018,Holiday dinner with friends,"Great food and massive portions so after our starters, we struggled to eat our mains. I recommend sharing the nachos between more than 3 people as the mains are very big. The entertainment was good - they had 3 dancers and if you have are...More",4
John A,35 reviews,"Reviewed June 18, 2018",Date of visit: June 2018,Holiday,"Went here 3 times while we were in Cyprus,  good food  , good fun in didn't believe it till I had seen it for myself,  there was people queuing to get in but it was worth it.",5
Diane H,5 reviews,"Reviewed June 17, 2018",Date of visit: June 2018,TexMex,"Good food as usual with some entertainment, central location and very enjoyable for families, worth a visit while you’re in Paphos",5
Sheena C,7 reviews,"Reviewed June 14, 2018",Date of visit: May 2018,Great entertainment,Very friendly restaurant with dancers and singing every night.  We were lucky enough to see Stavropol Flatlley perform which was very amusing.  Food portions are large and tasty,5
LoringTravels_,8 reviews,"Reviewed June 12, 2018",Date of visit: June 2018,Amazing food! Must try,"After reading reviews we decided to try whilst out in paphos. One word AMAZING!
 
The prices are very reasonable, and the food was so nice we are going back again before we leave to come home tomorrow! 

Entertainment was good! And the staff were very...More",5
Donna W,4 reviews,"Reviewed June 12, 2018",Date of visit: June 2018,Fab,Food was fantastic with a little entertainment thrown in.always very busy but worth a visit.will be back,5
X3395TJjonb,7 reviews,"Reviewed June 11, 2018",Date of visit: June 2018,recent visit,heard lots of people comment how good this restaurant was. it was so busy that we had to go for an early meal to get a table. didn’t know that you could reserve a table. plenty of food on the plate but felt it wasn’t...More,2
casmcx,33 reviews,"Reviewed June 10, 2018",Date of visit: June 2018,Great food great value,"Such a great lively atmosphere, really big portions and lovely food. Would definitely recommend to all ages!",5
vicks101,18 reviews,"Reviewed June 10, 2018",Date of visit: June 2018,Great night out!,"Lovely food, huge portions, great location, plenty to keep kids entertained with the dancers and nail painting/ tattoos. Highly recommend for a family dinner.",5
Suel1970,12 reviews,"Reviewed June 7, 2018",Date of visit: June 2018,Party athmosphere,If you want a good laugh go to this place. Grey entertainment. Dancers. Singers. The whole sherbang. Food was ok. A little over seasoned but really good value.,3
BecsBoys,11 reviews,"Reviewed June 7, 2018",Date of visit: June 2018,Our Favourite!,"We enjoyed two visits to Fat Mama's during our recent holiday to Paphos and both were excellent. The portion sizes were huge, you really don't need to order the larger size unless you have a VERY big appetite! The food quality was amazing, I had...More",5
chrisworthington48,673 reviews,"Reviewed June 5, 2018",Date of visit: May 2018,Good portions.,"Visited here one night whilst on holiday to watch a dance act and also sample the ribs which did not disappoint,good portions of food,nice and warm and well presented by the polite staff,prices where okay too and place was clean,worth a visit!",4
7neilp,30 reviews,"Reviewed June 5, 2018",Date of visit: June 2018,Great place,This place needs no introduction its a fab place good food good acts and we was lucky enough to have been in the restaurant when stavros flatly  (BGT) entered surprising everyone in the place brilliant night thanks.,5
temptationsteahouse,5 reviews,"Reviewed June 4, 2018",Date of visit: June 2018,What a Night!!!,"We booked here for our daughters 1st birthday as stavros flatly was performing!!! Absolutely amazing..  Tje entertainment throughout the night was spot on, with performances every look half hour which breaks up the evening.. Staff are amazing, entertainment spot on and the food is so...More",5
Tammy B,13 reviews,"Reviewed June 2, 2018",Date of visit: June 2018,Really good food & great atmosphere.,We ate at Fat Mama’s last night and ended up staying there most of the night because the entertainment was so good. They have dancers on every night. Last night it was a cabaret theme & they had an appearance from Stavros Flatly. It was...More,5
S6613BYgarym,2 reviews,"Reviewed May 31, 2018",Date of visit: May 2018,Don’t expect service with a smile,Completely average. Need to improve massively. One waiter rolled his eyes when I asked for something,2
Steve T,57 reviews,"Reviewed May 30, 2018",Date of visit: May 2018,Fantastic,We have been here many times and never fail to enjoy ourselves. Large menu will cater for most. Portions are good. The staff are always friendly and helpful. The nightly entertainment provided by the staff is great to watch,5
Amie D,4 reviews,"Reviewed May 30, 2018",Date of visit: May 2018,Amazing place!,"I couldn’t change the date to when we actually visited in October 2015, but it doesn’t matter. We were in Paphos for my Aunty’s wedding and we decided to dine here the night before. It was absolutely amazing, still to this day my boyfriend claims...More",5
sa_janeb,23 reviews,"Reviewed May 28, 2018",Date of visit: May 2018,Good food and atmosphere,"We had heard good things about Fat Mamas and arrived roughly at 6pm, we were easily seated. Service was quick and efficient. Between 6-7pm they do a cash only payment offer with buy one get one free cocktails and 10% off the bill, the only...More",4
Marverlouspie,40 reviews,"Reviewed May 28, 2018",Date of visit: May 2018,Great family dining,Fat Mamas has two menus to choose from so you can’t go wrong for something you will like.  We visited with the grandkids and children and had a ball.  The girls put on a really good dance show at intervals during the evening which really...More,5
AbigailMS,6 reviews,"Reviewed May 28, 2018",Date of visit: April 2018,Amazing steaks!,"Oh wow this was one of the best steaks I have ever had. I'm trying to diet so was offered rice and broccoli instead of chips which I was very pleased about!
I hate dancers and shows but I actually enjoyed the dancers as they...More",5
Sara B,38 reviews,"Reviewed May 27, 2018",Date of visit: May 2018,Oh my god what is this crap,Second rate food pathetic dancers it's a place to avoid walk past and don't stop there is a brilliant Greek taverna next door with amazing food and service,1
Joc247,40 reviews,"Reviewed May 27, 2018",Date of visit: May 2018,Meal,"Loved this place, the food and service was excellent. Family of 6 are here and we all thoroughly enjoyed it. They had abit of entertainment, the food was delicious and drinks when ordered arrived quickly. Would definitely recommend.",5
emma067,128 reviews,"Reviewed May 27, 2018",Date of visit: May 2018,"busy place, but food good","The first evening we went in here was very busy and after sitting for a while left as we were unattended. However we decided to try another evening and were well attended. We both took burgers, which is an unusual choice for us, but they...More",4
lewisdebbs,27 reviews,"Reviewed May 24, 2018",Date of visit: May 2018,lots of food.,"Fat Mamas and Willys are a must if you go to Paphos,we were there before 7 pm,and had 2 for1 on our cocktails,we ordered the small meal and only just managed to finish them,The food is a choice of Italian and American,Staff are friendly,food is...More",5
856melc,11 reviews,"Reviewed May 21, 2018",Date of visit: May 2018,Family meal,"Enjoyed the meal a lot to choice from, staff lovely, food good and hot, some entertainment which was a little annoying while trying to eat and talk overall good place.",4
JanM2010,43 reviews,"Reviewed May 21, 2018",Date of visit: May 2018,Great atmosphere,Food was good but huge portions!  Entertainment was good and gives it a great atmosphere. Staff were attentive too which was good. Happy to chat,4
Kimberley K,4 reviews,"Reviewed May 21, 2018",Date of visit: May 2018,Great food!,"Wow, the food here is incredible! Massive portions, you will definatley not leave hungry! We got the nachos to start, my word they were phenomenal. Fajitas and steak for main, again very tasty food. Very friendly staff and the added bonus of a show being...More",5
emilyelsie2017,38 reviews,"Reviewed May 20, 2018",Date of visit: May 2018,Delicious food,Lovely food at a good price. I ate here while holidaying in paphos and it was lovely. Friendly staff and my order was taken quickly no waiting around. There is a smoking area and non smoking area for people to choose when being seated. Lots...More,4
Katarzyna G,2 reviews,"Reviewed May 18, 2018",Date of visit: May 2018,Great place,"Great place, great and very handsome stuff and delicious food and drinks!!!
Greetings from Warsaw!!! :-)",5
danielle0793,12 reviews,"Reviewed May 17, 2018",Date of visit: May 2018,Lovely food,"We had heard nothing but amazing reviews about this restaurant so we had to come try it out. It didn’t disappoint amazing service, the dancers were so good they even came out and announced we had just got married and gave us a glass of...More",5
Sharnalouise,3 reviews,"Reviewed May 14, 2018",Date of visit: May 2018,Fantastic restaurant,"This restaurant will never be beaten,I used to come here as a kid 20 years ago have just returned with my husband and children and wow nothing has changed still fantastic food and entertainment  and good prices to,anyone that wants a lovely meal needs to...More",5
MrsMcNally,19 reviews,"Reviewed May 12, 2018",Date of visit: May 2018,Good Food,"Best ribs I’ve ever had, staff came to table too often two mouthful of drink and asked if wanted another !! 

Entertainment is ok if that’s the kind of thing you like while your eating very loud but portion sizes are huge so starve yourself...More",4
150stephanien,15 reviews,"Reviewed May 10, 2018",Date of visit: August 2017,Best pizza,As we work in the area we thought to get something easy made. We tried the make your own pizza. It just melted in your mouth unbelivable. Definetly going back for a meal,5
gaffology,13 reviews,"Reviewed May 8, 2018",Date of visit: May 2018,Dinner Time,"Fantastic, family orientated atmosphere. Staff magnificent A MUST visit when in Paphos. Found the entertainment great for the kids, people watching on the Tomb of the Kings Road fascinating too. Extremely reasonable prices for such a well heeled established restaurant. thanks again.",5
ikeasteve,34 reviews,"Reviewed May 8, 2018",Date of visit: May 2018,Great food and atmosphere,"Wanting great atmosphere and fine food.Look no further plenty to choose from with two great menus suiting everyones tastes.
During the evening you are entertained by the dancing girls including fire eating!
Prices are middle to high dependkng on your choice with bottles of wine...More",4
PearlMegs,18 reviews,"Reviewed May 7, 2018",Date of visit: May 2018,Fantastic evening,"Could not fault the food or the service here, the fillet steaks are very good.  All staff very attentive, making it a memorable evening, and the prices are very reasonable.  Thanks for a great birthday celebration.",5
SarahA558,5 reviews,"Reviewed May 4, 2018",Date of visit: May 2018,Holiday,As always a fab evening. Had a great night with the family. Excellent food and the dancing girls were fantastic. Made our night. Thank you Fat Mamas we will be back for sure 😎,5
zekorah,1 review,"Reviewed May 2, 2018",Date of visit: May 2018,"Amazing food, drinks and service","Have been coming to fat mamas for years every time we’re in Paphos, love the food and entertainment!  Portions are huge and the food always brings us back, on this visit we were pleasantly surprised with a lovely server named Layn who spoke away to...More",5
AlistairM171,7 reviews,"Reviewed April 30, 2018",Date of visit: April 2018,Holiday,We went to this restaurant while in paphos menu looked really good so we went in to order as we were sat at table 32 waiting for our meal I noticed that there was ants on the table & also my friend opposite was scratching...More,2
madalinam854,5 reviews,"Reviewed April 30, 2018",Date of visit: April 2018,.,"Friendly staff, huge portions of food and good advice regarding the menu/portions. Received leftovers to go",5
jennyrP4119OX,8 reviews,"Reviewed April 29, 2018",Date of visit: April 2018,Wonderful food and atmosphere,"So much food for so little money, great quality food combined with fabulous staff and entertainment! Would highly recommend a visit. But definitely pace yourself and don’t eat for the rest of the day!",5
Clee99,21 reviews,"Reviewed April 16, 2018",Date of visit: July 2017,OK,Waked past on a walk one night and liked the look of this place large queue dancing staff so we decided to call back next night.went quite early to avoid queue and got table wasn’t that expensive and food was good entertainment good but got...More,3
Shaun H,27 reviews,"Reviewed April 10, 2018",Date of visit: September 2017,Great food and great atmosphere,Excellent staff really friendly and took good care of us and children. Food was fantastic and delivered promptly. Even had entertainment in the restaurant. Although I often see large queues waiting to get in so book in advance if going during the busy season.,5
Adam w,4 reviews,"Reviewed April 3, 2018",Date of visit: June 2017,Amazing food happy staff,This was by far the best restaurant around paphos it’s two restaurant in one (Willy’s ribs) went to both and had the best steak I’ve ever had in my life from there 💯,5
674xenial,24 reviews,"Reviewed March 30, 2018",Date of visit: April 2017,spot on!,Omg!!! we enjoy our meal there at night it is very busy during summer time but such a funny night !!!! We had fun laughing the waitresses made a show not only them the show was fab and funny!! Great time!!!,5
nakkone,44 reviews,"Reviewed March 24, 2018",Date of visit: July 2017,The fajitas!!!,"Awesome food, great atmosphere. I got the fajitas and as you can tell by the picture it was enough to feed two. There are little acts of entertainment on too, I would definitely recommend!",5
Amy M,27 reviews,"Reviewed March 5, 2018",Date of visit: May 2017,Worth every penny!,"I visited fat mamas over 3 years ago when I made my first trip to pap his! The restaurant was recommended by a friend who had been before. By god was I not disappointed! The atmosphere was great, very friendly staff on arrival and all...More",5
Rollerman47,27 reviews,"Reviewed March 3, 2018",Date of visit: February 2018,Mega portions,Great place good friendly staff great food best starve yourself all day as portions are mega good bar music on during summer months,5
AntonisAntypas,23 reviews,"Reviewed February 17, 2018",Date of visit: February 2018,Doesn't stand up to their reputation,Apparently this restaurant has been known for years to be very good and have long lines outside the premisses with people waiting for a free table. I went there with a group of 5 and i was surprised i couldn't find what made the place...More,3
oscarhuddart,59 reviews,"Reviewed February 7, 2018",Date of visit: August 2017,David,"If you want to have a great night for the Kids this is the place . Great fun and entertainment and nice food .
Don't order too much as big portions ..",5
pegg122017,20 reviews,"Reviewed February 5, 2018",Date of visit: August 2017,Fun & Filling!,"Went here as a couple, one evening of our holiday in Paphos and it didn't disappoint. 
Serving ribs, burgers, steak etc. it was very filling and service was very attentive! 
The entertainment was great, a fun night out all in all!",5
allanstewart2016,6 reviews,"Reviewed January 22, 2018",Date of visit: June 2017,Average,"Average food and drink, there are better restaurants around in paphos. Wasn't busy when we were there.",3
MoonCAT13,21 reviews,"Reviewed January 1, 2018",Date of visit: September 2017,Great place for meat eaters,"We often visit as my husband loves the steaks (and has limited taste buds for anything else).  I do try various dishes on the menu to be more adventurous.  

There are two sizes on the menu, normal or large.... normal takes some stamina to get...More",5
LolaLoveheart,69 reviews,"Reviewed December 20, 2017",Date of visit: December 2017,"Fun place, huge portions and not the best fod","This place is great for kids - we saw a lot of families having a great time. We were 3 adults though and found the food a bit disappointing. 

Portions were ridiculously huge - such a waste of food. And a bit flavourless. My friend...More",3
steve a,2 reviews,"Reviewed December 8, 2017",Date of visit: December 2017,Food ok great entertainment,Nice restaurant for a good meal and to have some fun with friends while u watch the great show ...i will visit again the only dissapointment is the slow service but it was very busy during our visit,4
Jo S,12 reviews,"Reviewed November 30, 2017",Date of visit: July 2017,👍,"Loved this place , great fun and fab food , good prices.best to book so you are not disappointed. They celebrate your birthday by singing and also tribute acts there later on in the evenings .",5
kathleenc29,16 reviews,"Reviewed November 28, 2017",Date of visit: July 2017,Fast food .,Typical American diner. Food quality not good. Entertaining for children and adults not bad.  They make everyone wait outside at the entrance even though there are available tables.More,3
gail_bowker,57 reviews,"Reviewed November 9, 2017",Date of visit: October 2017,Different,"Very good restaurant with dancing and singing while you are eating. The only problem is you get too much to eat, you could probably share your meal it is that large.Very friendly staff and a very enjoyable evening.",5
Nansi A,15 reviews,"Reviewed November 5, 2017",Date of visit: October 2017,Such a fun place to eat,Another excellent night at Fat Mama's. So much fun and fabulous steaks. Thanks girls for entertaining my party.,5
KellyVictoria,165 reviews,"Reviewed November 5, 2017",Date of visit: October 2017,Good enough for a 2nd Visit,"The food here is okay, reasonably priced and tasty - nothing to write home about. The drinks also a reasonable. The big draw here is the promise of entertainment which consists of a singer (quite good) and then a cabaret act which is something to...More",4
Caroleanne R,80 reviews,"Reviewed November 3, 2017",Date of visit: October 2017,Very good for Cocktails,The food was excellent and if you eat during Happy Hour on the Coctails you get 2 for 1 - I had the Dirty Waiter and it was so refreshing - the ribs were fantastic and a very good portion,4
john l,31 reviews,"Reviewed November 3, 2017",Date of visit: October 2017,good food,"very good food at very reasonable prices,very popular & in a good location,staff very friendly and entertainment as well during the evening.",5
gemjar321,39 reviews,"Reviewed November 2, 2017",Date of visit: October 2017,Very Entertaining,Staff were so lovely and so much entertainment!! Great portions and very tasty! Definitely recommend but don’t expect a quiet night!,5
Debs W,10 reviews,"Reviewed November 2, 2017",Date of visit: October 2017,Wasn't anything special,"What a let down, we were really looking forward to this one but with the staff having an argument over whose table we were (yes, a proper argument) it wasn't a great start. The first waitress was fab but after she was moved off us...More",2
redandy99,43 reviews,"Reviewed November 1, 2017",Date of visit: October 2017,Casual dining,"Not the place for a romantic evening getaway, but if you like a bit of table entertainment whilst enjoying your food and  drink this is a great place to eat. Large portions are the order of day so don't go overboard on your starter!Good value...More",4
Pand1,15 reviews,"Reviewed November 1, 2017",Date of visit: August 2017,It’s okay,We had heard great things about this restaurant so decided to go. I think it best suits families with younger children for the entertainment that’s provided. We had to queue to get in so I advise booking if that’s even possible to avoid this. The...More,3
